flood_id,timestamp,street,district,lat,lng,depth_cm,duration_min,flood_level,traffic_impact,rainfall_trigger_mm,source,verified,severity_score,hour_timestamp
FLD00390,2023-01-01T16:22:20.000Z,An Duong Vuong,Quan 6,10.753612,106.646336,20.9,90,moderate,slow,45.5,user_report,true,41.629999999999995,2023-01-01T16:00:00.000Z
FLD02289,2023-01-01T17:16:09.000Z,Tan Ky Tan Quy,Binh Tan,10.790281,106.602996,30.0,90,severe,blocked,37.3,user_report,true,48.0,2023-01-01T17:00:00.000Z
FLD01748,2023-01-01T19:01:34.000Z,Nguyen Trai,Quan 5,10.756476,106.664718,21.3,120,moderate,slow,51.9,IoT_sensor,true,50.91,2023-01-01T19:00:00.000Z
FLD00891,2023-01-02T15:57:25.000Z,Tam Binh,Thu Duc,10.861055,106.74029,11.1,90,light,clear,20.7,IoT_sensor,true,34.769999999999996,2023-01-02T15:00:00.000Z
FLD00712,2023-01-02T18:11:13.000Z,Kha Van Can,Thu Duc,10.850347,106.752572,13.8,90,light,clear,15.9,traffic_camera,true,36.66,2023-01-02T18:00:00.000Z
FLD01380,2023-01-02T21:08:55.000Z,Le Dinh Can,Binh Tan,10.765443,106.594616,18.7,60,moderate,slow,30.3,IoT_sensor,true,31.089999999999996,2023-01-02T21:00:00.000Z
FLD00776,2023-01-03T00:36:27.000Z,Nguyen Trai,Quan 5,10.756891,106.662718,51.9,60,severe,blocked,69.5,monitoring_station,true,54.33,2023-01-03T00:00:00.000Z
FLD01652,2023-01-03T03:21:36.000Z,No Trang Long,Binh Thanh,10.815172,106.698293,14.2,90,light,clear,32.3,traffic_camera,true,36.94,2023-01-03T03:00:00.000Z
FLD01991,2023-01-03T18:53:21.000Z,Nguyen Trai,Quan 5,10.75605,106.666168,11.7,180,light,clear,28.5,user_report,true,62.19,2023-01-03T18:00:00.000Z
FLD00354,2023-01-03T22:40:26.000Z,No Trang Long,Binh Thanh,10.813822,106.698408,16.7,60,moderate,slow,18.3,user_report,true,29.689999999999998,2023-01-03T22:00:00.000Z
FLD01452,2023-01-04T02:47:43.000Z,Nguyen Anh Thu,Quan 12,10.876473,106.642566,23.2,90,moderate,slow,24.3,user_report,true,43.239999999999995,2023-01-04T02:00:00.000Z
FLD00087,2023-01-04T04:11:11.000Z,Thoai Ngoc Hau,Tan Phu,10.788175,106.628318,30.5,30,severe,blocked,68.8,monitoring_station,true,30.349999999999998,2023-01-04T04:00:00.000Z
FLD02199,2023-01-04T07:36:18.000Z,Huynh Tan Phat,Quan 7,10.72745,106.722667,6.4,30,light,clear,7.1,user_report,true,13.48,2023-01-04T07:00:00.000Z
FLD00995,2023-01-04T19:50:33.000Z,Phan Huy Ich,Go Vap,10.82751,106.672974,11.9,60,light,clear,23.1,IoT_sensor,true,26.33,2023-01-04T19:00:00.000Z
FLD00067,2023-01-05T17:43:57.000Z,Nguyen Anh Thu,Quan 12,10.878546,106.646113,10.8,90,light,clear,20.0,traffic_camera,true,34.56,2023-01-05T17:00:00.000Z
FLD01682,2023-01-06T00:25:15.000Z,Kinh Duong Vuong,Quan 6,10.741926,106.617303,15.2,180,moderate,slow,23.8,IoT_sensor,true,64.64,2023-01-06T00:00:00.000Z
FLD00922,2023-01-06T12:33:48.000Z,CMT8,Quan 3,10.782319,106.680072,19.7,90,moderate,slow,15.8,IoT_sensor,true,40.79,2023-01-06T12:00:00.000Z
FLD02278,2023-01-06T18:34:25.000Z,Huynh Tan Phat,Quan 7,10.727271,106.720544,26.0,30,moderate,slow,58.0,user_report,true,27.2,2023-01-06T18:00:00.000Z
FLD02179,2023-01-06T21:19:10.000Z,Nguyen Anh Thu,Quan 12,10.878342,106.645042,9.3,60,light,clear,13.9,monitoring_station,true,24.509999999999998,2023-01-06T21:00:00.000Z
FLD00086,2023-01-06T22:07:07.000Z,Quang Trung,Go Vap,10.838361,106.665898,8.1,30,light,clear,9.8,user_report,true,14.669999999999998,2023-01-06T22:00:00.000Z
FLD00869,2023-01-07T09:31:21.000Z,Tran Xuan Soan,Quan 7,10.750512,106.700451,21.9,60,moderate,slow,39.0,user_report,true,33.33,2023-01-07T09:00:00.000Z
FLD00735,2023-01-07T10:28:34.000Z,Nguyen Thi Thap,Quan 7,10.741148,106.716907,19.0,60,moderate,slow,47.0,IoT_sensor,true,31.299999999999997,2023-01-07T10:00:00.000Z
FLD01512,2023-01-08T05:29:40.000Z,To Ky,Quan 12,10.867283,106.632986,49.6,60,severe,blocked,80.7,traffic_camera,true,52.72,2023-01-08T05:00:00.000Z
FLD02094,2023-01-08T08:22:20.000Z,Phan Huy Ich,Go Vap,10.830644,106.672483,38.4,60,severe,blocked,72.6,user_report,true,44.879999999999995,2023-01-08T08:00:00.000Z
FLD02302,2023-01-08T08:53:11.000Z,Linh Dong,Thu Duc,10.864164,106.76498,9.9,30,light,clear,17.0,IoT_sensor,true,15.93,2023-01-08T08:00:00.000Z
FLD01646,2023-01-08T15:41:55.000Z,To Ky,Quan 12,10.864678,106.631835,5.0,120,light,clear,8.4,traffic_camera,true,39.5,2023-01-08T15:00:00.000Z
FLD00665,2023-01-09T09:39:29.000Z,An Duong Vuong,Quan 6,10.752671,106.644012,15.2,120,moderate,slow,29.4,IoT_sensor,true,46.64,2023-01-09T09:00:00.000Z
FLD00767,2023-01-09T17:03:53.000Z,To Ky,Quan 12,10.866411,106.632768,21.8,60,moderate,slow,43.2,user_report,true,33.26,2023-01-09T17:00:00.000Z
FLD01070,2023-01-10T04:44:14.000Z,To Ky,Quan 12,10.867079,106.629597,40.6,120,severe,blocked,48.5,traffic_camera,true,64.42,2023-01-10T04:00:00.000Z
FLD01931,2023-01-10T05:14:17.000Z,Hoa Binh,Tan Phu,10.805463,106.623243,29.9,180,moderate,slow,31.6,monitoring_station,true,74.92999999999999,2023-01-10T05:00:00.000Z
FLD00567,2023-01-10T08:51:10.000Z,Kinh Duong Vuong,Quan 6,10.743958,106.616802,21.3,120,moderate,slow,27.7,user_report,true,50.91,2023-01-10T08:00:00.000Z
FLD02322,2023-01-10T10:28:17.000Z,Hoa Binh,Tan Phu,10.805713,106.623961,15.0,30,moderate,slow,18.0,user_report,true,19.5,2023-01-10T10:00:00.000Z
FLD00786,2023-01-10T10:52:24.000Z,Vo Van Ngan,Thu Duc,10.849411,106.773974,18.9,60,moderate,slow,40.7,user_report,true,31.229999999999997,2023-01-10T10:00:00.000Z
FLD01473,2023-01-11T01:17:27.000Z,Phan Huy Ich,Go Vap,10.828402,106.671856,15.8,30,moderate,slow,22.3,monitoring_station,true,20.060000000000002,2023-01-11T01:00:00.000Z
FLD00320,2023-01-11T12:44:36.000Z,Kha Van Can,Thu Duc,10.849504,106.753147,8.5,30,light,clear,12.6,IoT_sensor,true,14.95,2023-01-11T12:00:00.000Z
FLD02353,2023-01-12T06:18:49.000Z,Nguyen Anh Thu,Quan 12,10.876828,106.645537,25.3,30,moderate,slow,24.6,monitoring_station,true,26.71,2023-01-12T06:00:00.000Z
FLD00582,2023-01-12T14:01:07.000Z,Quang Trung,Go Vap,10.83775,106.664759,14.6,90,light,clear,16.3,user_report,true,37.22,2023-01-12T14:00:00.000Z
FLD00117,2023-01-13T07:25:55.000Z,Nguyen Thi Thap,Quan 7,10.740017,106.714601,8.8,120,light,clear,10.7,monitoring_station,true,42.16,2023-01-13T07:00:00.000Z
FLD01073,2023-01-13T19:25:56.000Z,Thoai Ngoc Hau,Tan Phu,10.787538,106.627556,24.7,30,moderate,slow,36.4,traffic_camera,true,26.29,2023-01-13T19:00:00.000Z
FLD01085,2023-01-13T22:08:50.000Z,Nguyen Huu Canh,Binh Thanh,10.78634,106.720996,9.8,60,light,clear,18.7,IoT_sensor,true,24.86,2023-01-13T22:00:00.000Z
FLD01111,2023-01-14T09:11:57.000Z,Da Nam,Quan 8,10.739647,106.672715,5.0,60,light,clear,10.0,user_report,true,21.5,2023-01-14T09:00:00.000Z
FLD00016,2023-01-15T03:45:14.000Z,Le Van Luong,Quan 7,10.738251,106.705787,39.9,120,severe,blocked,64.9,IoT_sensor,true,63.92999999999999,2023-01-15T03:00:00.000Z
