flood_id,timestamp,street,district,lat,lng,depth_cm,duration_min,flood_level,traffic_impact,rainfall_trigger_mm,source,verified
FLD01467,2023-01-01 02:53:11,Linh Dong,Thu Duc,10.864646,106.767115,14.0,60,light,clear,20.5,IoT_sensor,False
FLD00390,2023-01-01 09:22:20,An Duong Vuong,Quan 6,10.753612,106.646336,20.9,90,moderate,slow,45.5,user_report,True
FLD02289,2023-01-01 10:16:09,Tan Ky Tan Quy,Binh Tan,10.790281,106.602996,30.0,90,severe,blocked,37.3,user_report,True
FLD01748,2023-01-01 12:01:34,Nguyen Trai,Quan 5,10.756476,106.664718,21.3,120,moderate,slow,51.9,IoT_sensor,True
FLD02111,2023-01-01 19:42:32,Le Thi Rieng,Quan 12,10.861844,106.646576,61.8,60,severe,blocked,130.4,user_report,False
FLD00891,2023-01-02 08:57:25,Tam Binh,Thu Duc,10.861055,106.74029,11.1,90,light,clear,20.7,IoT_sensor,True
FLD00712,2023-01-02 11:11:13,Kha Van Can,Thu Duc,10.850347,106.752572,13.8,90,light,clear,15.9,traffic_camera,True
FLD01886,2023-01-02 12:08:07,CMT8,Quan 3,10.78032,106.679116,5.0,90,light,clear,12.1,traffic_camera,False
FLD01380,2023-01-02 14:08:55,Le Dinh Can,Binh Tan,10.765443,106.594616,18.7,60,moderate,slow,30.3,IoT_sensor,True
FLD00776,2023-01-02 17:36:27,Nguyen Trai,Quan 5,10.756891,106.662718,51.9,60,severe,blocked,69.5,monitoring_station,True
FLD01652,2023-01-02 20:21:36,No Trang Long,Binh Thanh,10.815172,106.698293,14.2,90,light,clear,32.3,traffic_camera,True
FLD00091,2023-01-03 10:28:44,Huynh Tan Phat,Quan 7,10.728645,106.722987,7.0,90,light,clear,16.3,IoT_sensor,False
FLD01991,2023-01-03 11:53:21,Nguyen Trai,Quan 5,10.75605,106.666168,11.7,180,light,clear,28.5,user_report,True
FLD00354,2023-01-03 15:40:26,No Trang Long,Binh Thanh,10.813822,106.698408,16.7,60,moderate,slow,18.3,user_report,True
FLD01452,2023-01-03 19:47:43,Nguyen Anh Thu,Quan 12,10.876473,106.642566,23.2,90,moderate,slow,24.3,user_report,True
FLD00087,2023-01-03 21:11:11,Thoai Ngoc Hau,Tan Phu,10.788175,106.628318,30.5,30,severe,blocked,68.8,monitoring_station,True
FLD02199,2023-01-04 00:36:18,Huynh Tan Phat,Quan 7,10.72745,106.722667,6.4,30,light,clear,7.1,user_report,True
FLD00995,2023-01-04 12:50:33,Phan Huy Ich,Go Vap,10.82751,106.672974,11.9,60,light,clear,23.1,IoT_sensor,True
FLD02113,2023-01-05 02:57:04,No Trang Long,Binh Thanh,10.815534,106.695873,11.4,60,light,clear,19.1,user_report,False
FLD00067,2023-01-05 10:43:57,Nguyen Anh Thu,Quan 12,10.878546,106.646113,10.8,90,light,clear,20.0,traffic_camera,True
FLD01682,2023-01-05 17:25:15,Kinh Duong Vuong,Quan 6,10.741926,106.617303,15.2,180,moderate,slow,23.8,IoT_sensor,True
FLD00922,2023-01-06 05:33:48,CMT8,Quan 3,10.782319,106.680072,19.7,90,moderate,slow,15.8,IoT_sensor,True
FLD01241,2023-01-06 10:25:35,Ta Quang Buu,Quan 8,10.746327,106.664822,30.9,120,severe,blocked,61.9,IoT_sensor,False
FLD02278,2023-01-06 11:34:25,Huynh Tan Phat,Quan 7,10.727271,106.720544,26.0,30,moderate,slow,58.0,user_report,True
FLD02179,2023-01-06 14:19:10,Nguyen Anh Thu,Quan 12,10.878342,106.645042,9.3,60,light,clear,13.9,monitoring_station,True
FLD00086,2023-01-06 15:07:07,Quang Trung,Go Vap,10.838361,106.665898,8.1,30,light,clear,9.8,user_report,True
FLD00869,2023-01-07 02:31:21,Tran Xuan Soan,Quan 7,10.750512,106.700451,21.9,60,moderate,slow,39.0,user_report,True
FLD01823,2023-01-07 03:00:09,Le Thi Rieng,Quan 12,10.861618,106.649118,24.9,30,moderate,slow,48.0,monitoring_station,False
