timestamp,temp,rhum,prcp,wdir,wspd,cldc,pres,coco
2023-01-01 00:00:00,23.0,83,0.0,285,5.4,7,1014.0,2
2023-01-01 01:00:00,23.0,83,0.0,10,7.6,7,1015.0,2
2023-01-01 02:00:00,25.0,74,0.2,360,13.0,7,1016.0,2
2023-01-01 03:00:00,27.0,66,0.4,20,14.8,7,1015.0,2
2023-01-01 04:00:00,29.0,58,0.0,10,11.2,7,1014.0,3
2023-01-01 05:00:00,30.0,52,0.0,10,14.8,7,1013.0,3
2023-01-01 06:00:00,30.0,52,0.0,356,9.4,7,1012.0,3
2023-01-01 07:00:00,30.0,55,0.0,4,7.6,7,1011.0,3
2023-01-01 08:00:00,31.0,52,0.0,360,11.2,7,1010.0,3
2023-01-01 09:00:00,31.0,52,0.0,18,11.2,7,1010.0,3
2023-01-01 10:00:00,30.0,55,0.0,60,11.2,7,1010.0,3
2023-01-01 11:00:00,28.0,66,0.0,50,7.6,7,1011.0,3
2023-01-01 12:00:00,28.0,66,0.0,350,3.6,7,1011.0,3
2023-01-01 13:00:00,28.0,70,0.0,350,9.4,7,1012.0,3
2023-01-01 14:00:00,27.0,70,0.0,10,9.4,7,1013.0,2
2023-01-01 15:00:00,26.0,70,0.0,7,5.4,6,1013.0,2
2023-01-01 16:00:00,25.0,78,0.0,40,7.6,6,1014.0,2
2023-01-01 17:00:00,25.0,74,0.0,356,3.6,6,1014.0,2
2023-01-01 18:00:00,24.0,83,0.0,330,7.6,6,1013.0,2
2023-01-01 19:00:00,24.0,83,0.0,330,7.6,6,1013.0,2
2023-01-01 20:00:00,23.0,88,0.0,340,7.6,6,1012.0,2
2023-01-01 21:00:00,23.0,88,0.0,330,3.6,6,1012.0,2
2023-01-01 22:00:00,23.0,88,0.0,61,1.8,6,1013.0,2
2023-01-01 23:00:00,23.0,88,0.0,3,3.6,7,1014.0,2
2023-01-02 00:00:00,24.0,83,0.0,338,5.4,7,1014.0,2
2023-01-02 01:00:00,25.0,78,0.0,40,5.4,7,1015.0,3
2023-01-02 02:00:00,27.0,74,0.0,39,5.4,7,1016.0,3
2023-01-02 03:00:00,28.0,70,0.0,38,5.4,6,1016.0,3
2023-01-02 04:00:00,29.0,70,0.0,330,7.6,7,1015.0,2
2023-01-02 05:00:00,31.0,62,0.0,310,9.4,7,1014.0,3
2023-01-02 06:00:00,31.0,62,0.0,320,7.6,7,1013.0,3
2023-01-02 07:00:00,32.0,59,0.0,310,9.4,7,1011.0,3
2023-01-02 08:00:00,31.0,62,0.0,300,9.4,7,1010.0,3
2023-01-02 09:00:00,31.0,59,0.0,320,11.2,7,1011.0,3
2023-01-02 10:00:00,27.0,89,0.0,24,5.4,7,1011.0,3
2023-01-02 11:00:00,26.0,94,0.0,200,9.4,7,1012.0,3
2023-01-02 12:00:00,27.0,89,0.0,220,7.6,7,1013.0,3
2023-01-02 13:00:00,27.0,89,0.0,220,7.6,7,1013.0,3
2023-01-02 14:00:00,27.0,89,0.0,160,5.4,7,1014.0,3
2023-01-02 15:00:00,27.0,89,0.0,11,3.6,7,1014.0,3
2023-01-02 16:00:00,26.0,94,0.0,18,1.8,6,1014.0,2
2023-01-02 17:00:00,26.0,94,0.0,356,1.8,6,1014.0,2
2023-01-02 18:00:00,25.0,100,0.0,280,3.6,6,1013.0,2
2023-01-02 19:00:00,25.0,100,0.0,320,5.4,6,1013.0,2
2023-01-02 20:00:00,25.0,94,0.0,350,7.6,6,1012.0,2
2023-01-02 21:00:00,24.0,94,0.0,30,5.4,6,1012.0,2
2023-01-02 22:00:00,24.0,94,0.0,303,1.8,6,1013.0,2
2023-01-02 23:00:00,24.0,89,0.0,325,5.4,7,1013.0,3
2023-01-03 00:00:00,24.0,94,0.0,276,3.6,7,1014.0,3
2023-01-03 01:00:00,26.0,84,0.0,20,9.4,7,1014.0,3
2023-01-03 02:00:00,28.0,74,0.0,30,11.2,7,1014.0,3
2023-01-03 03:00:00,29.0,70,0.0,80,16.6,7,1014.0,3
